season,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,spread,formatted_spread,spread_open,over_under,
2015.0,Nebraska,Big Ten,37.0,UCLA,Pac-12,29.0,0,4.5,UCLA,,61.0,'consensus'
2015.0,Navy,American Athletic,44.0,Pittsburgh,ACC,28.0,1,-3.0,Navy,,51.5,'consensus'
2015.0,Minnesota,Big Ten,21.0,Central Michigan,Mid-American,14.0,1,-6.0,Minnesota,,49.5,'consensus'
2015.0,Baylor,Big 12,49.0,North Carolina,ACC,38.0,0,2.0,North Carolina,,73.0,'consensus'
2015.0,LSU,Big 12,56.0,Texas Tech,SEC,27.0,1,7.0,LSU,,73.5,'consensus'
,,,,,,,0.7317073170731707,,,,,
2016.0,Oklahoma,Big 12,35.0,Auburn,SEC,19.0,1,-2.0,Oklahoma,,67.0,
2016.0,Wisconsin,Big Ten,24.0,Western Michigan,Mid-American,16.0,1,-9.0,Wisconsin,,53.5,
2016.0,Minnesota,Pac-12,17.0,Washington State,Big Ten,12.0,0,-8.5,Washington State,,61.0,
2016.0,Southern Mississippi,Sun Belt,28.0,Louisiana,Conference USA,21.0,1,5.5,Southern Mississippi,,56.5,
2016.0,Idaho,Mountain West,61.0,Colorado State,Sun Belt,50.0,0,-16.0,Colorado State,,64.5,
2016.0,Old Dominion,Conference USA,24.0,Eastern Michigan,Mid-American,20.0,1,-5.0,Old Dominion,,63.0,
2016.0,Hawai'i,Conference USA,52.0,Middle Tennessee,Mountain West,35.0,0,-7.5,Middle Tennessee,,70.0,
2016.0,Baylor,Big 12,31.0,Boise State,Mountain West,12.0,0,7.0,Boise State,,70.5,
2016.0,Air Force,Mountain West,45.0,South Alabama,Sun Belt,21.0,1,-14.5,Air Force,,54.0,
2016.0,Appalachian State,Mid-American,31.0,Toledo,Sun Belt,28.0,1,1.0,Appalachian State,,59.5,
2016.0,Florida,Big Ten,30.0,Iowa,SEC,3.0,1,1.0,Florida,,41.0,
2016.0,Clemson,SEC,35.0,Alabama,ACC,31.0,0,-6.5,Alabama,,51.0,
2016.0,BYU,Mountain West,24.0,Wyoming,FBS Independents,21.0,1,10.0,BYU,,56.0,
2016.0,Louisiana Tech,American Athletic,48.0,Navy,Conference USA,45.0,1,7.5,Louisiana Tech,,67.0,
