white_username,black_username,opening,score_white,score_black,result_white,result_black,time_class,time_control,rating_white,rating_black,accuracy_white,accuracy_black,start_time,end_time,game_length,total_moves,avg_move_time,UTC_date,white_<1,white_2,white_5,white_15,white_>15,black_<1,black_2,black_5,black_15,black_>15
mitrabhaa,Hikaru,Dutch-Defense-Normal-Variation,0,1,resigned,win,blitz,180,2894,3201,84.12,88.69,19:45:39,19:51:02,323.0,33,9.79,2023.01.16,4,13,2,12,1,2,12,7,11,0
Hikaru,mitrabhaa,Reti-Opening-Kingside-Fianchetto-Variation,1,0,win,timeout,blitz,180,3203,2892,79.73,75.21,19:53:08,19:59:27,379.0,60,6.32,2023.01.16,9,28,11,11,0,12,28,7,10,1
mitrabhaa,Hikaru,Dutch-Defense-Queens-Knight-Variation,0.5,0.5,repetition,repetition,blitz,180,2898,3197,85.42,85.8,19:59:39,20:03:51,252.0,41,6.15,2023.01.16,3,19,10,8,0,6,20,9,4,0
Hikaru,mitrabhaa,Caro-Kann-Defense-Two-Knights-Attack,1,0,win,resigned,blitz,180,3199,2896,86.17,72.9,20:03:53,20:05:50,117.0,22,5.32,2023.01.16,3,11,4,3,0,2,12,4,2,0
mitrabhaa,Hikaru,English-Opening-Four-Knights-Variation,0,1,resigned,win,blitz,180,2894,3201,83.28,89.01,20:05:55,20:10:23,268.0,34,7.88,2023.01.16,3,15,6,7,2,4,14,9,6,0
Hikaru,SlipperySpeedster,Reti-Opening-Kings-Indian-Attack-Symmetrical-Defense,1,0,win,resigned,blitz,180+1,3201,2521,85.52,77.71,15:59:57,16:07:48,471.0,65,7.25,2023.01.17,6,32,17,9,0,8,33,8,13,1
Makswolf200817,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180+1,2656,3202,78.06,82.97,16:12:33,16:21:45,552.0,79,6.99,2023.01.17,6,42,19,9,2,14,37,9,15,3
Hikaru,alexrustemov,Kings-Indian-Attack,1,0,win,timeout,blitz,180+1,3203,2798,89.13,84.2,16:22:42,16:31:22,520.0,67,7.76,2023.01.17,7,34,10,12,3,6,30,14,12,3
mitrabhaa,Hikaru,English-Opening-Four-Knights-Variation,0,1,resigned,win,blitz,180+1,2901,3205,88.07,90.38,16:33:35,16:41:33,478.0,54,8.85,2023.01.17,5,25,9,11,3,7,22,13,8,3
Hikaru,GMSrinath,Kings-Indian-Attack-Double-Fianchetto-Variation,1,0,win,resigned,blitz,180+1,3208,2930,79.13,75.53,16:50:48,16:59:56,548.0,80,6.85,2023.01.17,13,47,9,7,3,13,46,7,10,2
abhidabhi,Hikaru,Ruy-Lopez-Opening-Berlin-Defense,1,0,win,timeout,blitz,180+1,2991,3195,88.92,78.78,17:01:35,17:09:19,464.0,45,10.31,2023.01.17,3,17,14,6,4,7,14,10,9,3
Hikaru,Alexandr_Predke,Sicilian-Defense-French-Variation,1,0,win,timeout,blitz,180+1,3198,2921,78.16,81.98,17:12:54,17:21:09,495.0,56,8.84,2023.01.17,8,23,11,12,1,4,31,5,10,4
wonderfultime,Hikaru,Pirc-Defense,0.5,0.5,repetition,repetition,blitz,180+1,2937,3193,89.46,89.37,17:23:12,17:31:53,521.0,73,7.14,2023.01.17,18,34,8,9,3,13,33,13,9,3
AlexanderL,Hikaru,Reti-Opening,0.5,0.5,insufficient,insufficient,blitz,180+1,2960,3188,87.91,88.9,17:39:15,17:48:37,562.0,85,6.61,2023.01.17,11,46,12,12,3,16,44,10,12,2
Hikaru,Zkid,Kings-Indian-Attack-Yugoslav-Variation,1,0,win,resigned,blitz,180+1,3191,2928,91.54,85.86,17:49:41,17:56:41,420.0,47,8.94,2023.01.17,5,23,9,6,3,6,19,8,10,2
anon6121824,Hikaru,Ruy-Lopez-Opening-Fianchetto-Defense,0,1,resigned,win,blitz,180+1,2906,3194,88.1,93.41,17:59:44,18:07:08,444.0,47,9.45,2023.01.17,11,17,10,4,4,6,24,7,8,1
Hikaru,BuLolo,Indian-Game-East-Indian-Przepiorka-Variation,0,1,checkmated,win,blitz,180,3182,3020,72.46,82.14,20:06:07,20:11:01,294.0,46,6.39,2023.01.17,8,23,8,5,1,10,19,9,6,1
BuLolo,Hikaru,Kings-Pawn-Opening-St-George-Defense,1,0,win,resigned,blitz,180,3031,3171,80.4,74.32,20:10:57,20:16:49,352.0,56,6.29,2023.01.17,8,28,13,5,1,4,24,14,11,1
Hikaru,BuLolo,Kings-Fianchetto-Opening,1,0,win,resigned,blitz,180,3176,3026,85.67,80.26,20:16:47,20:21:27,280.0,42,6.67,2023.01.17,10,17,6,8,0,5,17,8,9,1
BuLolo,Hikaru,Nimzo-Indian-Defense-Keres-Variation,0,1,resigned,win,blitz,180,3021,3181,83.08,86.83,20:21:26,20:25:18,232.0,29,8.0,2023.01.17,5,11,5,5,2,2,14,4,8,0
Hikaru,BuLolo,Reti-Opening,1,0,win,resigned,blitz,180,3186,3016,83.36,72.72,20:25:13,20:30:04,291.0,41,7.1,2023.01.17,4,18,12,6,0,5,15,10,9,0
BuLolo,Hikaru,Ruy-Lopez-Opening-Fianchetto-Defense,0,1,resigned,win,blitz,180,3012,3190,84.22,91.25,20:30:04,20:34:48,284.0,39,7.28,2023.01.17,5,17,7,9,0,4,21,8,5,0
Hikaru,BuLolo,Reti-Opening-Kings-Indian-Attack-Symmetrical-Defense,1,0,win,timeout,blitz,180,3194,3008,85.08,79.79,20:34:39,20:40:58,379.0,64,5.92,2023.01.17,16,25,10,12,0,13,30,12,5,2
BuLolo,Hikaru,Nimzo-Indian-Defense-Ragozin-Gligoric-System,1,0,win,resigned,blitz,180,3020,3182,86.41,82.75,20:40:47,20:46:23,336.0,64,5.25,2023.01.17,12,37,5,9,0,9,33,12,7,1
Hikaru,BuLolo,Sicilian-Defense-Nyezhmetdinov-Rossolimo-Attack,1,0,win,checkmated,blitz,180,3187,3015,82.76,75.01,20:46:23,20:51:10,287.0,36,7.97,2023.01.17,3,17,8,6,1,7,10,9,6,2
Hikaru,eljanov,Reti-Opening,1,0,win,resigned,blitz,180,3191,3002,96.43,88.6,20:53:53,20:58:17,264.0,30,8.8,2023.01.17,4,12,6,7,0,4,10,4,7,3
eljanov,Hikaru,Four-Knights-Game-Scotch-Variation-Accepted,1,0,win,resigned,blitz,180,3014,3179,85.85,79.96,20:58:17,21:03:50,333.0,48,6.94,2023.01.17,7,23,9,7,1,5,21,7,12,1
Hikaru,eljanov,Vienna-Game-Max-Lange-Defense,1,0,win,resigned,blitz,180,3183,3010,92.7,83.36,21:03:52,21:05:51,119.0,19,6.26,2023.01.17,4,8,4,2,0,2,6,6,3,0
eljanov,Hikaru,Caro-Kann-Defense,0,1,timeout,win,blitz,180,3006,3187,79.04,82.83,21:05:49,21:12:08,379.0,54,7.02,2023.01.17,7,25,10,9,2,10,28,7,7,1
Hikaru,eljanov,Kings-Indian-Attack,1,0,win,resigned,blitz,180,3191,3002,81.55,76.53,21:12:07,21:17:51,344.0,48,7.17,2023.01.17,3,23,12,8,1,1,26,8,11,0
eljanov,Hikaru,Caro-Kann-Defense-Advance-Variation,0,1,resigned,win,blitz,180,2998,3195,88.02,93.97,21:17:53,21:22:02,249.0,28,8.89,2023.01.17,2,13,5,5,2,0,12,8,6,1
Hikaru,eljanov,Reti-Opening,1,0,win,resigned,blitz,180,3199,2994,91.42,86.66,21:22:01,21:27:25,324.0,44,7.36,2023.01.17,7,19,9,7,1,4,20,9,8,1
eljanov,Hikaru,Caro-Kann-Defense-Exchange-Variation,0,1,resigned,win,blitz,180,2990,3203,77.99,82.69,21:27:24,21:33:27,363.0,59,6.15,2023.01.17,5,34,12,5,2,9,28,10,11,0
Hikaru,PotapovaM,Reti-Opening,1,0,win,resigned,blitz,180+1,3203,2520,85.12,78.22,21:59:59,22:06:07,368.0,37,9.95,2023.01.17,5,15,8,6,2,6,12,7,7,3
Diego_FloresQ,Hikaru,Caro-Kann-Defense-Bronstein-Larsen-Variation,0,1,resigned,win,blitz,180+1,2642,3204,87.29,92.89,22:11:08,22:17:33,385.0,50,7.7,2023.01.17,3,24,11,6,5,4,21,17,7,0
Hikaru,greekplayer1,Kings-Indian-Attack-Yugoslav-Variation,1,0,win,checkmated,blitz,180+1,3205,2775,81.76,78.26,22:20:34,22:31:01,627.0,115,5.45,2023.01.17,23,61,15,14,1,22,66,14,8,3
platy3,Hikaru,Ruy-Lopez-Opening-Fianchetto-Defense,0,1,timeout,win,blitz,180+1,2859,3207,79.04,85.35,22:31:09,22:38:12,423.0,48,8.81,2023.01.17,4,22,12,4,5,6,25,5,9,2
Hikaru,Vladimir_Zakhartsov,Kings-Indian-Attack-Double-Fianchetto-Variation,1,0,win,timeout,blitz,180+1,3210,2916,95.36,89.7,22:46:47,22:53:04,377.0,38,9.92,2023.01.17,6,20,4,4,3,3,13,6,11,3
exoticprincess,Hikaru,Giuoco-Piano-Game-Giuoco-Pianissimo-Variation,0,1,timeout,win,blitz,180+1,2984,3213,90.0,92.68,22:57:47,23:05:12,445.0,40,11.12,2023.01.17,3,19,5,7,5,4,18,10,5,2
vugarrasulov,Hikaru,Three-Knights-Opening-Winawer-Defense,0.5,0.5,repetition,repetition,blitz,180+1,2936,3208,90.34,91.73,23:10:00,23:17:03,423.0,37,11.43,2023.01.17,6,10,4,13,3,5,11,5,11,3
Hikaru,penguingm1,Polish-Opening-Baltic-Defense,0,1,resigned,win,blitz,180+1,3195,2970,77.5,84.13,23:20:08,23:28:10,482.0,51,9.45,2023.01.17,10,17,11,8,4,10,22,9,5,4
Hikaru,Andreikka,Trompowsky-Attack,1,0,win,timeout,blitz,180+1,3198,2942,87.9,84.97,23:36:33,23:45:09,516.0,67,7.7,2023.01.17,6,35,12,11,2,4,31,18,10,2
Twitch_ElhamBlitz05,Hikaru,Bishops-Opening-Berlin-Vienna-Hybrid-Variation,0,1,resigned,win,blitz,180+1,2908,3201,80.22,86.71,23:47:07,23:53:09,362.0,27,13.41,2023.01.17,3,13,4,2,4,1,10,9,3,3
Hikaru,SKAlexandrovich,Indian-Game-East-Indian-Przepiorka-Variation,0,1,resigned,win,blitz,180,3194,3004,72.91,98.02,17:00:00,17:02:02,122.0,18,6.78,2023.01.18,3,8,3,2,1,1,11,3,2,0
GeneralRubbish,Hikaru,Modern-Defense-with,0,1,timeout,win,blitz,180,2203,3194,81.38,86.17,17:02:03,17:06:41,278.0,59,4.71,2023.01.18,11,25,12,9,1,10,45,3,0,0
unknownplayer1243,Hikaru,Modern-Defense-Standard-Line,0,1,resigned,win,blitz,180,2427,3194,69.82,76.93,17:06:50,17:08:36,106.0,25,4.24,2023.01.18,3,12,6,3,0,7,16,1,0,0
